DisplayName: ObjectModel.can1:mac54/iDrive.Accu@IPS_10.183.155.184,SignalName: ObjectModel.can1:mac54/iDrive.Signal.Accu@IPS_10.183.155.184,Source: RC06,Unit: rev,SignalType: Analog
16:12:2014 16:13:41:487,842.6494141,,,
16:12:2014 16:13:41:487,842.6489258,,,
16:12:2014 16:13:41:535,842.6489258,,,
16:12:2014 16:13:41:535,842.6494141,,,
16:12:2014 16:13:41:631,842.6494141,,,
16:12:2014 16:13:41:631,842.6489258,,,
16:12:2014 16:13:41:695,842.6489258,,,
16:12:2014 16:13:41:695,842.6494141,,,
16:12:2014 16:13:41:791,842.6494141,,,
16:12:2014 16:13:41:791,842.6489258,,,
16:12:2014 16:13:41:839,842.6489258,,,
16:12:2014 16:13:41:839,842.6494141,,,
16:12:2014 16:13:41:935,842.6494141,,,
16:12:2014 16:13:41:935,842.6489258,,,
16:12:2014 16:13:41:984,842.6489258,,,
16:12:2014 16:13:41:984,842.6494141,,,
16:12:2014 16:13:42:080,842.6494141,,,
16:12:2014 16:13:42:080,842.6489258,,,
16:12:2014 16:13:42:128,842.6489258,,,
16:12:2014 16:13:42:128,842.6494141,,,
16:12:2014 16:13:42:224,842.6494141,,,
16:12:2014 16:13:42:224,842.6489258,,,
16:12:2014 16:13:42:272,842.6489258,,,
16:12:2014 16:13:42:272,842.6494141,,,
16:12:2014 16:13:42:385,842.6494141,,,
16:12:2014 16:13:42:385,842.6489258,,,
16:12:2014 16:13:42:434,842.6489258,,,
16:12:2014 16:13:42:434,842.6494141,,,
16:12:2014 16:13:42:535,842.6494141,,,
16:12:2014 16:13:42:535,842.6489258,,,
16:12:2014 16:13:42:571,842.6489258,,,
16:12:2014 16:13:42:571,842.6494141,,,
16:12:2014 16:13:42:690,842.6494141,,,
16:12:2014 16:13:42:690,842.6489258,,,
16:12:2014 16:13:42:758,842.6489258,,,
16:12:2014 16:13:42:758,842.6494141,,,
16:12:2014 16:13:42:862,842.6494141,,,
16:12:2014 16:13:42:862,842.6489258,,,
16:12:2014 16:13:42:913,842.6489258,,,
16:12:2014 16:13:42:913,842.6494141,,,
16:12:2014 16:13:43:016,842.6494141,,,
16:12:2014 16:13:43:016,842.6489258,,,
16:12:2014 16:13:43:052,842.6489258,,,
16:12:2014 16:13:43:052,842.6494141,,,
16:12:2014 16:13:43:152,842.6494141,,,
16:12:2014 16:13:43:152,842.6489258,,,
16:12:2014 16:13:43:219,842.6489258,,,
16:12:2014 16:13:43:219,842.6494141,,,
16:12:2014 16:13:43:318,842.6494141,,,
16:12:2014 16:13:43:318,842.6489258,,,
16:12:2014 16:13:43:384,842.6489258,,,
16:12:2014 16:13:43:384,842.6494141,,,
16:12:2014 16:13:43:452,842.6494141,,,
16:12:2014 16:13:43:452,842.6489258,,,
16:12:2014 16:13:43:516,842.6489258,,,
16:12:2014 16:13:43:516,842.6494141,,,
16:12:2014 16:13:43:612,842.6494141,,,
16:12:2014 16:13:43:612,842.6489258,,,
16:12:2014 16:13:43:662,842.6489258,,,
16:12:2014 16:13:43:662,842.6494141,,,
16:12:2014 16:13:43:747,842.6494141,,,
16:12:2014 16:13:43:747,842.6489258,,,
16:12:2014 16:13:43:797,842.6489258,,,
16:12:2014 16:13:43:797,842.6494141,,,
16:12:2014 16:13:43:885,842.6494141,,,
16:12:2014 16:13:43:885,842.6489258,,,
16:12:2014 16:13:43:953,842.6489258,,,
16:12:2014 16:13:43:953,842.6494141,,,
16:12:2014 16:13:44:055,842.6494141,,,
16:12:2014 16:13:44:055,842.6489258,,,
16:12:2014 16:13:44:109,842.6489258,,,
16:12:2014 16:13:44:109,842.6494141,,,
16:12:2014 16:13:44:194,842.6494141,,,
16:12:2014 16:13:44:194,842.6489258,,,
16:12:2014 16:13:44:245,842.6489258,,,
16:12:2014 16:13:44:245,842.6494141,,,
16:12:2014 16:13:44:350,842.6494141,,,
16:12:2014 16:13:44:350,842.6489258,,,
16:12:2014 16:13:44:418,842.6489258,,,
16:12:2014 16:13:44:418,842.6494141,,,
16:12:2014 16:13:44:540,842.6494141,,,
16:12:2014 16:13:44:540,842.6489258,,,
16:12:2014 16:13:44:574,842.6489258,,,
16:12:2014 16:13:44:574,842.6494141,,,
16:12:2014 16:13:44:693,842.6494141,,,
16:12:2014 16:13:44:693,842.6489258,,,
16:12:2014 16:13:44:744,842.6489258,,,
16:12:2014 16:13:44:744,842.6494141,,,
16:12:2014 16:13:44:831,842.6494141,,,
16:12:2014 16:13:44:831,842.6489258,,,
16:12:2014 16:13:44:895,842.6489258,,,
16:12:2014 16:13:44:895,842.6494141,,,
16:12:2014 16:13:45:007,842.6494141,,,
16:12:2014 16:13:45:007,842.6489258,,,
16:12:2014 16:13:45:056,842.6489258,,,
16:12:2014 16:13:45:056,842.6494141,,,
16:12:2014 16:13:45:154,842.6494141,,,
16:12:2014 16:13:45:154,842.6489258,,,
16:12:2014 16:13:45:222,842.6489258,,,
16:12:2014 16:13:45:222,842.6494141,,,
16:12:2014 16:13:45:309,842.6494141,,,
16:12:2014 16:13:45:309,842.6489258,,,
16:12:2014 16:13:45:377,842.6489258,,,
16:12:2014 16:13:45:377,842.6494141,,,
16:12:2014 16:13:45:479,842.6494141,,,
16:12:2014 16:13:45:479,842.6489258,,,
16:12:2014 16:13:45:532,842.6489258,,,
16:12:2014 16:13:45:532,842.6494141,,,
16:12:2014 16:13:45:634,842.6494141,,,
16:12:2014 16:13:45:634,842.6489258,,,
16:12:2014 16:13:45:702,842.6489258,,,
16:12:2014 16:13:45:702,842.6494141,,,
16:12:2014 16:13:45:788,842.6494141,,,
16:12:2014 16:13:45:788,842.6489258,,,
16:12:2014 16:13:45:854,842.6489258,,,
16:12:2014 16:13:45:854,842.6494141,,,
16:12:2014 16:13:45:955,842.6494141,,,
16:12:2014 16:13:45:955,842.6489258,,,
16:12:2014 16:13:46:021,842.6489258,,,
16:12:2014 16:13:46:021,842.6494141,,,
16:12:2014 16:13:46:120,842.6494141,,,
16:12:2014 16:13:46:120,842.6489258,,,
16:12:2014 16:13:46:173,842.6489258,,,
16:12:2014 16:13:46:173,842.6494141,,,
16:12:2014 16:13:46:274,842.6494141,,,
16:12:2014 16:13:46:274,842.6489258,,,
16:12:2014 16:13:46:341,842.6489258,,,
16:12:2014 16:13:46:341,842.6494141,,,
16:12:2014 16:13:46:446,842.6494141,,,
16:12:2014 16:13:46:446,842.6489258,,,
16:12:2014 16:13:46:497,842.6489258,,,
16:12:2014 16:13:46:497,842.6494141,,,
16:12:2014 16:13:46:616,842.6494141,,,
16:12:2014 16:13:46:616,842.6489258,,,
16:12:2014 16:13:46:670,842.6489258,,,
16:12:2014 16:13:46:670,842.6494141,,,
16:12:2014 16:13:46:772,842.6494141,,,
16:12:2014 16:13:46:772,842.6489258,,,
16:12:2014 16:13:46:843,842.6489258,,,
16:12:2014 16:13:46:843,842.6494141,,,
16:12:2014 16:13:46:945,842.6494141,,,
16:12:2014 16:13:46:945,842.6489258,,,
16:12:2014 16:13:46:995,842.6489258,,,
16:12:2014 16:13:46:995,842.6494141,,,
16:12:2014 16:13:47:100,842.6494141,,,
16:12:2014 16:13:47:100,842.6489258,,,
16:12:2014 16:13:47:166,842.6489258,,,
16:12:2014 16:13:47:166,842.6494141,,,
16:12:2014 16:13:47:263,842.6494141,,,
16:12:2014 16:13:47:263,842.6489258,,,
16:12:2014 16:13:47:331,842.6489258,,,
16:12:2014 16:13:47:331,842.6494141,,,
16:12:2014 16:13:47:436,842.6494141,,,
16:12:2014 16:13:47:436,842.6489258,,,
16:12:2014 16:13:47:504,842.6489258,,,
16:12:2014 16:13:47:504,842.6494141,,,
16:12:2014 16:13:47:603,842.6494141,,,
16:12:2014 16:13:47:603,842.6489258,,,
16:12:2014 16:13:47:670,842.6489258,,,
16:12:2014 16:13:47:670,842.6494141,,,
16:12:2014 16:13:47:787,842.6494141,,,
16:12:2014 16:13:47:787,842.6489258,,,
16:12:2014 16:13:47:853,842.6489258,,,
16:12:2014 16:13:47:853,842.6494141,,,
16:12:2014 16:13:47:953,842.6494141,,,
16:12:2014 16:13:47:953,842.6489258,,,
